 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;7210290102-Contribuiçaõ Patronal (Intra Orç.) - Camara;02/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;51.828,00;0;4.533,95
2;1210290702-Contribuição do Servidor - Câmara;02/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;53.277,00;0;2.248,58
3;7210291502-Contribuiçaõ Previdenciaria Regime de Parcelamento de Debito - Camara;02/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;12.000,00;0;2.743,14
4;7210291502-Contribuiçaõ Previdenciaria Regime de Parcelamento de Debito - Camara;02/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;12.000,00;0;2.341,09
5;1210290702-Contribuição do Servidor - Câmara;02/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;53.277,00;0;2.122,10
6;7210290102-Contribuiçaõ Patronal (Intra Orç.) - Camara;02/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;51.828,00;0;4.279,18
7;1325000001-Remuneração de Depositos Bancarios;31/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;602.000,00;0;0
8;1325000001-Remuneração de Depositos Bancarios;31/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;602.000,00;0;0
10;1922100001-Compensação Financeira;07/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;16.000,00;0;19.070,79
11;1990000001-Receitas Diversas;04/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;2.000,00;0;3.223,75
12;1990000001-Receitas Diversas;10/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;2.000,00;0;4.312,56
13;1990000001-Receitas Diversas;18/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;2.000,00;0;1.556,32
14;1990000001-Receitas Diversas;30/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;2.000,00;0;3.452,03
31;1325000001-Remuneração de Depositos Bancarios;31/01/2013;INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA MUNICIPAL DE CAJAZEIRAS;08.924.581/0001-60;602.000,00;0;0
