 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1721330021;CEO - CENTRO DE ESPECIALIDADES ODONTOLOGICAS;02/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;120000.00;0;2200.00
2;1721330002;PACS - PROGRAMA AGENTES COMUNITÁRIOS DE SAÚDE;03/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;2000000.00;0;126295.00
3;1721330003;PSF- PROGRAMAS SAÚDE DA FAMILIA;03/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;2000000.00;0;117645.00
4;1721330005;SAÚDE BUCAL;03/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;480000.00;0;36795.00
5;1721330033;NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF;03/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;260000.00;0;20000.00
6;1721330050;PROGRAMA MELHORIA DE ACESSO DE QUALIDADE;03/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;90000.00;0;30800.00
7;1721330021;CEO - CENTRO DE ESPECIALIDADES ODONTOLOGICAS;02/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;120000.00;0;2200.00
8;1721330021;CEO - CENTRO DE ESPECIALIDADES ODONTOLOGICAS;02/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;120000.00;0;2200.00
9;1721330021;CEO - CENTRO DE ESPECIALIDADES ODONTOLOGICAS;02/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;120000.00;0;2200.00
10;1721330007;FARMÁCIA BÁSICA;25/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;100000.00;0;24596.88
11;1722330100;TRANSFERÊNCIA DE RECURSOS DO ESTADO PARA PROGRAMAS DE SAÚDE - REPASSE FUNDO A FUNDO;02/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;0;0;35000.00
12;1721330016;SAÚDE MENTAL - CAPS;28/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;1000.00;0;43907.90
13;1721330053;TETO MUNICIPAL  DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR;03/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;268000.00;0;696962.25
14;1721330052;PISO FIXO DE VIGILANCIA SANITARIA E PROMOÇÃO DA SAÚDE-PFVISA;03/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;25000.00;0;26055.52
15;1721330018;AÇÕES ESTRUTURANTES DE VIGILÂNCIA SANITÁRIA PRODUTOS;03/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;230000.00;0;7114.07
16;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;11.15
17;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;58.03
18;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;1550.34
19;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;898.83
20;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;158.13
21;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;112.96
22;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;0.13
23;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;368.46
24;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;73.88
25;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;2.35
26;1721330058;REDE BRASIL SEM MISÉRIA;28/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;0;0;1720.83
27;1721330059;REDE VIVER SEM LIMITES;28/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;0;0;1094.17
28;1721330056;INCENTIVO DE QUALIFICAÇÃO DAS AÇÕES DE DENGUE;03/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;0;0;36091.31
30;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;1.75
31;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;0.45
32;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;0.02
33;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;0.04
34;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;1.29
35;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;0.88
36;1325000001;Remuneração de Depositos Bancarios;31/01/2013;MUNICIPIO DE CAJAZEIRAS FUNDO MUNICIPAL DE SAUDE - FMS;11.902.878/0001-39;167071.00;0;0.07
