 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1722010101;COTA-PARTE DO ICMS;03/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;0;185560.68
2;1722010101;COTA-PARTE DO ICMS;04/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;0;8081.80
3;1722010101;COTA-PARTE DO ICMS;07/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;0;4231.39
4;1722010101;COTA-PARTE DO ICMS;08/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;0;10536.53
5;1722010101;COTA-PARTE DO ICMS;15/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;0;103118.27
6;1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;0;179782.86
7;1722010101;COTA-PARTE DO ICMS;29/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;8362000.00;0;197902.01
8;9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;03/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;0;-37112.13
9;9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;04/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;0;-1616.36
10;1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;0;718666.28
11;9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;08/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;0;-2107.30
12;9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;15/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;0;-20623.65
13;1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;18/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;0;104125.15
14;9722010101;DEDUÇÃO DE RECEITA PARA A FORMAÇÃO DO FUNDEF/ ICMS;29/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-1672400.00;0;-39580.40
15;1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;18/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;0;220109.04
16;1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;30/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;0;27586.67
17;1721010201;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICIPIOS;30/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;23780000.00;0;691586.67
18;9721010201;DEDUÇÃO DE RECEITA DO FPM/ FUNDEF E REDUTOR FINANCEIRO;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;-4756000.00;0;-179689.82
19;1113050002;SNA - SIMPLES NACIONAL;31/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;2075.64
20;1113050002;SNA - SIMPLES NACIONAL;03/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;111.96
21;1113050002;SNA - SIMPLES NACIONAL;07/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;57.17
22;1113050002;SNA - SIMPLES NACIONAL;28/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;5592.81
23;1113050002;SNA - SIMPLES NACIONAL;09/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;5
24;1113050002;SNA - SIMPLES NACIONAL;10/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;107.32
25;1113050002;SNA - SIMPLES NACIONAL;11/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;5
26;1113050002;SNA - SIMPLES NACIONAL;14/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;1224.76
27;1113050002;SNA - SIMPLES NACIONAL;15/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;136.62
28;1113050002;SNA - SIMPLES NACIONAL;16/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;2153.56
29;1113050002;SNA - SIMPLES NACIONAL;17/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;1344.31
30;1113050002;SNA - SIMPLES NACIONAL;18/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;1034.25
31;1113050002;SNA - SIMPLES NACIONAL;21/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;1548.27
32;1113050002;SNA - SIMPLES NACIONAL;22/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;3212.34
33;1113050002;SNA - SIMPLES NACIONAL;24/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;29388.57
34;1113050002;SNA - SIMPLES NACIONAL;25/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;1366.81
35;1113050002;SNA - SIMPLES NACIONAL;28/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;5.05
36;1113050002;SNA - SIMPLES NACIONAL;29/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;274.96
37;1113050002;SNA - SIMPLES NACIONAL;31/01/2013;PREF MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;500000.00;0;10.25
