 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1721340001;FMAS PVMC PROGRAMA PETI;04/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;224700.00;0;11000.00
2;1721340014;PRO-JOVEM ADOLESCENTE - FNAS;04/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;340000.00;0;3140.25
3;1721340014;PRO-JOVEM ADOLESCENTE - FNAS;25/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;340000.00;0;17272.50
4;1721340009;PAIF CRAS;04/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;288000.00;0;18000.00
5;1721340015;PFMC CREAS;04/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;192000.00;0;12500.00
6;1325000001;Remuneração de Depositos Bancarios;25/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.22
7;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.1
8;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.02
9;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;4.69
10;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;1.18
11;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;7.9
12;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.06
13;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.38
14;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;16.56
15;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.04
16;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.02
18;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.18
19;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.05
20;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.2
21;1325000001;Remuneração de Depositos Bancarios;31/01/2013;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;13.291.727/0001-17;10000.00;0;0.15
