 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1210290704;Contribuição de Servidor Ativo Civil - FMAS;03/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;41704.00;0;2440.71
2;1210290704;Contribuição de Servidor Ativo Civil - FMAS;03/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;41704.00;0;3091.84
3;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;13/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;112235.39
4;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;13/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;121009.73
5;1210290701;Contribuição de Servidor Ativo Civil - Câmara;27/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;36420.00;0;2363.60
6;7210290200;Contribuição Patronal - Câmara - Intra-Orçamentária;27/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;70207.00;0;4766.11
7;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;13/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;23405.70
8;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;03/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;19552.96
9;1210290704;Contribuição de Servidor Ativo Civil - FMAS;20/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;41704.00;0;2787.20
10;1325019900;Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;31/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;100000.00;0;3723.89
11;1325019900;Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;31/01/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;100000.00;0;13335.68
12;9328200000;Retificadora da Remuneração de Investimentos Regime Próprio;31/01/2014;BANCO DO BRASIL SA;00.000.000/1641-19;0;0;-7603.28
13;1325019900;Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;31/01/2014;BANCO DO BRASIL SA;00.000.000/1641-19;100000.00;0;3864.86
14;1922100000;Compensações Financ.entre o Reg.Geral e os Regimes Próp.de Prev.dos Servidores;09/01/2014;BANCO DO BRASIL SA;00.000.000/1641-19;400000.00;0;25347.38
15;1325019900;Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;31/01/2014;BANCO SANTANDER;11.180.607/0001-17;100000.00;0;6289.27
16;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;13/01/2014;FOLHA DE PAGAMENTO;;2290971.00;0;3658.32
17;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;13/01/2014;FOLHA DE PAGAMENTO;;2290971.00;0;931.12
18;1210290701;Contribuição de Servidor Ativo Civil - Câmara;27/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;36420.00;0;2501.06
19;7210290200;Contribuição Patronal - Câmara - Intra-Orçamentária;27/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;70207.00;0;4989.83
20;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;04/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;18020.00
21;7210290100;Contribuição Patronal - Prefeitura - Intra-Orçamentária;04/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2276771.00;0;43364.04
22;7210290100;Contribuição Patronal - Prefeitura - Intra-Orçamentária;11/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2276771.00;0;243998.89
23;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;05/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;25497.54
24;1210290703;Contribuição de Servidor Ativo Civil - SCTRANS;21/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;18000.00;0;1969.16
25;1210290703;Contribuição de Servidor Ativo Civil - SCTRANS;21/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;18000.00;0;1755.76
26;1210290703;Contribuição de Servidor Ativo Civil - SCTRANS;19/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;18000.00;0;2013.71
27;1210290703;Contribuição de Servidor Ativo Civil - SCTRANS;19/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;18000.00;0;2003.81
28;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;11/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;130379.40
29;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;11/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;23949.63
30;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;11/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;22425.15
31;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;05/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;21622.19
32;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;05/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;2290971.00;0;119517.18
33;1210290704;Contribuição de Servidor Ativo Civil - FMAS;04/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;41704.00;0;3008.21
34;1325019900;Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;28/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;100000.00;0;4272.74
35;1325019900;Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;28/02/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;100000.00;0;40560.01
36;1325019900;Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;28/02/2014;BANCO DO BRASIL SA;00.000.000/1641-19;100000.00;0;10855.42
37;1325019900;Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;28/02/2014;BANCO DO BRASIL SA;00.000.000/1641-19;100000.00;0;67885.57
39;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;07/02/2014;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;2290971.00;0;956.89
40;1210290702;Contribuição de Servidor Ativo Civil - Prefeitura;07/02/2014;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;2290971.00;0;1897.88
41;1325019900;Receita de Remuneração de Outros Depósitos Bancários de Recursos Vinculados;28/02/2014;BANCO SANTANDER;11.180.607/0001-17;100000.00;0;17351.88
42;1210290705;Contribuição de Servidor Ativo Civil - FMS;14/03/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;822000.00;0;22861.85
43;1210290705;Contribuição de Servidor Ativo Civil - FMS;14/03/2014;CAIXA ECONOMICA FEDERAL;00.360.305/0040-10;822000.00;0;21920.94
