 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
1;1218011102-Contribuição de Servidor Ativo Civil - SCTRANS;02/01/2019;SCTRANS;04.342.393/0001-72;47.000,00;0;3.074,47
2;7218041101-CPSSS Patronal - Parcelamentos - Servidor Civil Ativo;02/01/2019;SCTRANS;04.342.393/0001-72;1.677.000,00;0;650,83
3;1990031100-Compensações Financeiras entre o Regime Geral e os Regimes Próprios de Previdência dos Servidores;08/01/2019;INSS;29.979.036/0169-00;3.000.000,00;0;63.297,99
4;1219991100-Demais Contribuições Previdenciárias;10/01/2019;INSTITUTO DE PREVIDENCIA E ASSIST. MUN DE CAJAZEIRAS;12.724.464/0001-20;60.000,00;0;244,03
5;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;10/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;104.952,98
6;7218031102-CPSSS Patronal - Servidor Civil Ativo - SCTRANS;21/01/2019;SCTRANS;04.342.393/0001-72;90.000,00;0;6.115,38
7;1218011100-Contribuição de Servidor Ativo Civil  Câmara;23/01/2019;CAMARA MUNICIPAL DE CAJAZEIRAS;08.841.553/0001-89;42.000,00;0;2.857,29
8;7218031101-CPSSS Patronal - Servidor Civil Ativo - Câmara;23/01/2019;CAMARA MUNICIPAL DE CAJAZEIRAS;08.841.553/0001-89;114.100,00;0;10.237,05
9;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;24/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;4.834,85
10;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;24/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;42.729,16
11;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;25/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;41.775,72
13;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;30/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;7.162.600,00;0;92.019,72
14;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;30/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;7.162.600,00;0;86.125,03
15;7218031100-CPSSS Patronal - Servidor Civil Ativo  Prefeitura;30/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;7.162.600,00;0;9.955,86
16;7218041101-CPSSS Patronal - Parcelamentos - Servidor Civil Ativo;30/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;1.677.000,00;0;104.756,57
17;7218041101-CPSSS Patronal - Parcelamentos - Servidor Civil Ativo;30/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;1.677.000,00;0;36.350,34
18;7218041101-CPSSS Patronal - Parcelamentos - Servidor Civil Ativo;30/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;1.677.000,00;0;2.030,49
19;7218041101-CPSSS Patronal - Parcelamentos - Servidor Civil Ativo;30/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;1.677.000,00;0;2.686,31
20;7218041101-CPSSS Patronal - Parcelamentos - Servidor Civil Ativo;30/01/2019;SCTRANS;04.342.393/0001-72;1.677.000,00;0;641,14
21;7218041101-CPSSS Patronal - Parcelamentos - Servidor Civil Ativo;30/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;1.677.000,00;0;6.301,91
22;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;30/01/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;180.439,04
23;1218012100-Contribuição do Servidor Civil Inativo;31/01/2019;FOLHA DE PAGAMENTO;;10.000,00;0;288,83
24;1219991100-Demais Contribuições Previdenciárias;01/02/2019;INSTITUTO DE PREVIDENCIA E ASSIST. MUN DE CAJAZEIRAS;12.724.464/0001-20;60.000,00;0;2.634,89
25;1219991100-Demais Contribuições Previdenciárias;01/02/2019;INSTITUTO DE PREVIDENCIA E ASSIST. MUN DE CAJAZEIRAS;12.724.464/0001-20;60.000,00;0;1.910,39
31;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;08/02/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;114.259,82
32;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;08/02/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;76.160,05
33;1218011101-Contribuição de Servidor Ativo Civil - Prefeitura;08/02/2019;PREFEITURA MUNICIPAL DE CAJAZEIRAS;08.923.971/0001-15;6.000.000,00;0;44.211,37
