NUMERO;CODIGO;RECEITA;DATA;HISTORICO;CONTA BANCARIA;FORNECEDOR;VALOR
270;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;29/11/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES MUNICIPAIS DA PARTE PATRONAL   FOLHAS CÓDIGOS: 44 REFERENTE AO MES DE SETEMBRO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;290422.03
269;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;29/11/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES MUNICIPAIS DA PARTE PATRONAL   FOLHAS CÓDIGOS: 42 REFERENTE AO MES DE SETEMBRO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;210299.39
268;121501111 ; Contribuição do Servidor Civil Ativo - Principal;21/11/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES SEGURADOS  MUNICIPAIS FOLHAS CÓDIGOS: 44 REFERENTE AO MES DE OUTUBRO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;100000.00
267;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;29/11/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES MUNICIPAIS DA PARTE PATRONAL   FOLHAS CÓDIGOS: 43 REFERENTE AO MES DE OUTUBRO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;115912.89
266;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;29/11/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES MUNICIPAIS DA PARTE PATRONAL   FOLHAS CÓDIGOS: 44 REFERENTE AO MES DE AGOSTO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;170261.04
265;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;21/11/2022;RECEBIMENTO PROVENIENTES  DE RECEITA DA PARTE PATRONAL DA CAMARA MUNICIPAL DE CAJAZEIRAS PB COMPETENCIA NOVEMBRO 2022;2507;CÂMARA MUNICIPAL DE CAJAZEIRAS;9933.51
264;121501111 ; Contribuição do Servidor Civil Ativo - Principal;21/11/2022;RECEBIMENTO DE PROVENIENTES DA RECEITA DA PARTE DO SERVIDOR DA CAMARA MUNICIPAL DE CAJAZEIRAS PB COMPETENCIA NOVEMBRO 2022;2507;CÂMARA MUNICIPAL DE CAJAZEIRAS;4207.84
263;121501111 ; Contribuição do Servidor Civil Ativo - Principal;21/11/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES SEGURADOS  MUNICIPAIS FOLHAS CÓDIGOS: 43 REFERENTE AO MES DE OUTUBRO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;132335.81
262;121501111 ; Contribuição do Servidor Civil Ativo - Principal;21/11/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES SEGURADOS  MUNICIPAIS FOLHAS CÓDIGOS: 42 REFERENTE AO MES DE SETEMBRO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;1238.49
261;121501111 ; Contribuição do Servidor Civil Ativo - Principal;21/11/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES SEGURADOS  MUNICIPAIS FOLHAS CÓDIGOS: 44 REFERENTE AO MES DE OUTUBRO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;21569.36
257;721551111 ; Contribuição Patronal - Servidor Civil Ativo - Parcelamentos - Principal - IntraOrçamentaria;01/11/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS DOS SERVIDORES, PARCELAMENTO.REF.OUTUBRO 2022 PARCELA 54;2507;SUPERINTENDENCIA CAJAZEIRENSE DE TRANSITO;890.63
253;721551111 ; Contribuição Patronal - Servidor Civil Ativo - Parcelamentos - Principal - IntraOrçamentaria;25/10/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS DOS SERVIDORES, PARCELAMENTO.REF.SETEMBRO 2022 PARCELA 53;2507;SUPERINTENDENCIA CAJAZEIRENSE DE TRANSITO;907.46
252;721551111 ; Contribuição Patronal - Servidor Civil Ativo - Parcelamentos - Principal - IntraOrçamentaria;25/10/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS DOS SERVIDORES, PARCELAMENTO.REF.AGOSTO 2022 PARCELA 52;2507;SUPERINTENDENCIA CAJAZEIRENSE DE TRANSITO;908.36
251;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;31/10/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES MUNICIPAIS DA PARTE PATRONAL   FOLHAS CÓDIGOS:: 44 REFERENTE AO MES DE AGOSTO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;120000.00
250;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;31/10/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS  DOS SERVIDORES MUNICIPAIS DA PARTE PATRONAL   FOLHAS CÓDIGOS:: 43 REFERENTE AO MES DE AGOSTO 2022.;2507;PREFEITURA MUNICIPAL DE CAJAZEIRAS;272636.55
249;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;31/10/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS PARTE PATRONAL DOS SERVIDORES COM REFERENCIA AO MES DE SETEMBRO DE 2022;2507;SUPERINTENDENCIA CAJAZEIRENSE DE TRANSITO;1241.95
248;121501111 ; Contribuição do Servidor Civil Ativo - Principal;28/10/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS PARTE PATRONAL DOS SERVIDORES COM REFERENCIA AO MES DE AGOSTO DE 2022;2507;SUPERINTENDENCIA CAJAZEIRENSE DE TRANSITO;5436.56
247;121501111 ; Contribuição do Servidor Civil Ativo - Principal;28/10/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS PARTE PATRONAL DOS SERVIDORES COM REFERENCIA AO MES DE SETEMBRO DE 2022;2507;SUPERINTENDENCIA CAJAZEIRENSE DE TRANSITO;5436.56
246;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;28/10/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS PARTE PATRONAL DOS SERVIDORES COM REFERENCIA AO MES DE AGOSTO DE 2022;2507;SUPERINTENDENCIA CAJAZEIRENSE DE TRANSITO;12834.23
245;721502111 ; Contribuição Patronal - Servidor Civil Ativo - Principal - IntraOrçamentaria;28/10/2022;CORRESPONDENTE AO INGRESSO DOS RECURSOS DAS CONTRIBUIÇOES PREVIDENCIARIAS PARTE PATRONAL DOS SERVIDORES COM REFERENCIA AO MES DE JULHO DE 2022;2507;SUPERINTENDENCIA CAJAZEIRENSE DE TRANSITO;11688.79
