NUMERO;CODIGO;RECEITA;DATA;HISTORICO;CONTA BANCARIA;FORNECEDOR;VALOR
631;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;6472165;CAIXA ECONOMICA FEDERAL;94.96
630;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;485969;BANCO DO BRASIL S.A;62.61
629;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;6472165;CAIXA ECONOMICA FEDERAL;23.76
628;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;6240574;CAIXA ECONOMICA FEDERAL;13.56
627;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;6240582;CAIXA ECONOMICA FEDERAL;317.08
626;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;6240671;CAIXA ECONOMICA FEDERAL;11.3
625;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;6240736;CAIXA ECONOMICA FEDERAL;0.09
624;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;6240779;CAIXA ECONOMICA FEDERAL;813.33
623;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;6240825;CAIXA ECONOMICA FEDERAL;11174.87
622;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;473766;BANCO DO BRASIL S.A;386.45
621;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;00000016173X;BANCO DO BRASIL S.A;0.04
620;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;580511;BANCO DO BRASIL S.A;0.1
619;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;285935;BANCO DO BRASIL S.A;0.79
618;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;81698;BANCO DO BRASIL S.A;19.54
617;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;331155;BANCO DO BRASIL S.A;0.56
616;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;331244;BANCO DO BRASIL S.A;13.1
615;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;332097;BANCO DO BRASIL S.A;0.34
614;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;338877;BANCO DO BRASIL S.A;1394.99
613;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;261866;BANCO DO BRASIL S.A;19.84
612;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;261963;BANCO DO BRASIL S.A;0.77
611;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;281174;BANCO DO BRASIL S.A;954.88
610;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;282987;BANCO DO BRASIL S.A;0.87
609;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;291137;BANCO DO BRASIL S.A;0.39
608;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;324760;BANCO DO BRASIL S.A;572.23
607;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;324779;BANCO DO BRASIL S.A;5.45
606;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;324787;BANCO DO BRASIL S.A;1.76
605;132101011 ; Remuneração de Depósitos Bancários - Principal;30/12/2022;REFERENTE A RENDIMENTO DE APLICAÇÃO FINANCEIRA.;324795;BANCO DO BRASIL S.A;85.21
